
Which medication_names are related to other medication_names via an fda_drug_name?
indicate if the medication_name is being used as a brand or generic name.


 medication_name | medication_name |     type     |  fda_drug_name_link
-----------------+-----------------+--------------+-----------------------------
 actonel         | actonel         | brand_name   | {ACTONEL,"RISEDRONATE SODIUM."}
 albuterol       | albuterol       | brand_name   | {ALBUTEROL.,"ALBUTEROL SULFATE.","ALBUTEROL SULFATE.",ALBUTEROL.}
 albuterol       | albuterol       | generic_name | {ALBUTEROL/00139501/,ALBUTEROL.,ALBUTEROL.,"ALBUTEROL SULFATE.","ALBUTEROL SULFATE."}
 alendronate     | alendronate     | brand_name   | {"ALENDRONATE SODIUM.",ALENDRONATE}
 alendronate     | fosamax         | brand_name   | {"ALENDRONATE SODIUM."}
 apixaban        | apixaban        | generic_name | {APIXABAN,ELIQUIS}
 apixaban        | eliquis         | brand_name   | {APIXABAN,ELIQUIS}
 avelox          | avelox          | brand_name   | {AVELOX,"MOXIFLOXACIN HYDROCHLORIDE."}
 baclofen        | baclofen        | brand_name   | {BACLOFEN.,BACLOFEN.}
 baclofen        | baclofen        | generic_name | {BACLOFEN.,BACLOFEN.,LIORESAL,GABLOFEN}
 boniva          | boniva          | brand_name   | {"IBANDRONATE SODIUM.",BONIVA}
 bystolic        | bystolic        | brand_name   | {"NEBIVOLOL HYDROCHLORIDE",BYSTOLIC}
 canagliflozin   | canagliflozin   | generic_name | {INVOKANA,CANAGLIFLOZIN}
 canagliflozin   | invokana        | brand_name   | {INVOKANA,CANAGLIFLOZIN}
 cipro           | cipro           | brand_name   | {CIPRO,CIPROFLOXACIN.,"CIPROFLOXACIN HYDROCHLORIDE."}
 denosumab       | denosumab       | generic_name | {DENOSUMAB,PROLIA,XGEVA}
 dronedarone     | dronedarone     | generic_name | {MULTAQ,DRONEDARONE}
 duloxetine      | duloxetine      | brand_name   | {"DULOXETINE HYDROCHLORIDE.",DULOXETINE,"DULOXETINE HYDROCHLORIDE.",DULOXETINE}
 duloxetine      | duloxetine      | generic_name | {DULOXETINE,"DULOXETINE HYDROCHLORIDE 60 MG","DULOXETINE HYDROCHLORIDE.",DULOXETINE,"DULOXETINE HYDROCHLORIDE."}
 effient         | effient         | brand_name   | {EFFIENT,"PRASUGREL HYDROCHLORIDE"}
 eliquis         | apixaban        | generic_name | {APIXABAN,ELIQUIS}
 eliquis         | eliquis         | brand_name   | {APIXABAN,ELIQUIS}
 fluoxetine      | fluoxetine      | brand_name   | {FLUOXETINE,"FLUOXETINE HYDROCHLORIDE.",FLUOXETINE}
 fluoxetine      | fluoxetine      | generic_name | {FLUOXETINE,FLUOXETINE}
 fosamax         | alendronate     | brand_name   | {"ALENDRONATE SODIUM."}
 fosamax         | fosamax         | brand_name   | {"ALENDRONATE SODIUM.",FOSAMAX}
 fycompa         | fycompa         | brand_name   | {FYCOMPA,PERAMPANEL}
 geodon          | geodon          | brand_name   | {"ZIPRASIDONE HYDROCHLORIDE.",GEODON}
